1828,0
846,1
1747,0
1415,1
2211,0
2151,0
1300,1
402,1
3336,0
1909,0
429,1
709,1
2519,0
1019,1
288,1
3054,0
48,0
2450,0
988,1
3477,0
609,1
148,0
2816,0
43,1
3271,0
1918,0
2012,0
2289,0
527,1
1858,1
3466,0
1895,0
1276,0
555,1
1785,0
2346,0
948,1
2051,0
806,1
188,1
1511,0
2095,0
1279,1
1497,0
134,1
1853,0
204,1
431,1
116,1
1549,0
3036,0
2796,0
1872,0
165,1
3093,0
931,0
1507,0
1287,0
3064,0
1771,0
3046,0
1427,1
710,0
488,1
3262,1
1582,0
904,1
2419,1
3430,0
690,1
2876,0
244,1
2538,0
2692,0
2862,0
2794,0
226,1
2779,0
307,1
2807,0
1365,1
1814,0
3032,0
3453,1
3027,0
981,1
823,1
918,1
1985,0
3204,0
1032,1
2022,0
559,1
882,1
836,1
1298,0
1527,0
2209,0
1117,0
1310,1
661,1
801,1
1904,1
1182,1
2694,0
1120,1
100,1
2231,0
724,1
1021,1
856,1
248,1
1134,1
336,1
1788,0
884,0
3283,0
1899,0
3613,0
3091,0
1570,0
2404,0
2349,0
584,1
2517,0
2090,0
1103,1
3439,0
2009,0
3606,0
567,1
121,1
2735,0
1607,0
471,1
2999,0
3330,0
1317,1
3526,0
2420,0
1371,1
817,1
2291,0
2163,1
1559,1
2762,0
2174,0
1016,1
2070,0
1521,0
1369,1
2903,0
3081,0
1312,1
2558,0
1610,0
1660,0
1224,1
84,1
3166,0
1600,0
2056,0
2972,0
368,1
238,0
354,1
3368,1
814,1
2359,0
476,1
3315,1
878,1
821,1
2819,0
2064,0
3334,0
3124,0
599,1
2470,0
3310,0
810,1
2923,0
1678,0
2506,0
1222,1
3437,0
3184,0
1397,1
588,1
825,1
3398,0
2487,0
1190,1
186,1
3076,0
2987,0
3541,1
1900,0
2655,0
3138,0
3553,1
888,1
586,1
2918,0
1291,1
984,1
3647,0
2581,0
1045,1
2352,0
213,1
2336,0
1075,1
1874,0
1531,0
2135,0
2644,0
2886,0
1318,1
2488,0
943,1
1992,0
3194,0
1174,1
2951,0
315,1
3241,0
496,1
1820,0
3397,0
3212,0
185,1
2852,0
1331,1
650,1
2394,0
124,1
3589,0
2848,0
2186,0
2788,0
3111,0
2742,0
439,1
2225,0
2475,0
1475,1
705,1
2057,0
1340,1
1451,1
2912,0
2328,0
2374,0
2312,0
1154,1
2983,0
883,1
1412,1
2527,0
2628,0
2831,0
1697,0
2115,0
506,1
118,1
1139,1
1087,1
2968,0
3083,0
3642,0
10,1
869,1
1691,1
2161,0
966,1
30,1
749,1
3042,0
2619,0
790,0
2582,0
957,1
179,0
1929,0
3043,1
2409,0
529,1
554,1
3038,0
2730,0
191,1
944,1
334,1
2083,0
731,1
1432,1
2130,0
2579,0
1833,0
503,1
1956,0
1250,1
1792,0
1831,0
1102,1
500,1
1292,1
909,1
3643,0
3485,0
3390,1
2543,0
183,1
1964,0
2071,0
834,1
318,1
1586,0
3162,0
3119,0
467,1
3587,0
2058,0
1089,1
2417,0
2869,0
3012,0
2395,0
129,1
3333,0
596,1
881,1
279,1
1442,1
501,0
2408,0
3381,1
2301,0
1933,0
459,1
2614,0
933,0
3615,0
1218,1
1127,1
2804,0
507,1
2707,1
38,1
581,1
1616,0
1013,1
2309,0
553,0
1752,0
3620,0
93,1
2382,0
2943,0
574,1
1232,1
380,0
490,1
728,1
587,1
1469,1
1626,0
